Diego,,,,,,,,,,,,,,,
Fudge,,,,,,,,,2,,,,,,
Gaines,,,,1,,1,,,,,,,,,
Hankin,,,,,,,,,2,,,,,,
Matt,,,,,,,,,1,,,,,,1
McFerran,,,,,,,,,1,,,,,,
Nelson,,,,1,1,,,,1,1,,,,,
,,,,,,,,,,,,,,,
Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
,,,,,,,,,,,,,,,
Broken Sequence,,,,,,,,,,,,,,,
Break Sequence,,,,,,,,,,,,,,,
Defense Scheme ,Man (Flick),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started Offense,,,,,,,,,,,,,,,
Time,0:35,,,,,,,,,,,,,,
Pull Play,Pitt Sweep (2),Fudge,F,,,,,,,,,,,,
